food_name,kg,itemNum,EAN,animal,category,type,description,imgsrc,,,
BASIC Excellent,10,20115,8713595 20115 9,dog,Protection Croque,Food,Extruded food for adult dogs of small breeds,Basic%20Excellent%20mini.png,,,
JUNIOR Performance  Mini,2,20426,8713595 20426 6,dog,Protection Croque,Food,,protection_croque_mini_junior_performance_0.png,,,
BASIC Excellent  Mini,2,20126,8713595 20126 5,dog,Protection Croque,Food,,Basic%20Excellent%20mini.png,,,
SUPER Performance  Mini,2,20326,8713595 20326 9,dog,Protection Croque,Food,,Super%20Performance%20mini.png,,,
SENIOR Fit  Mini,2,20626,8713595 20626 0,dog,Protection Croque,Food,,Senior%20Fit%20mini.png,,,
LAMB Hypoallergic  Mini,2,20726,8713595 20726 7,dog,Protection Croque,Food,,Lamb%20Hypoallergenic%20mini_0.png,,,
PUPPY & JUNIOR,10,8445,8713595 08445 5,dog,Fit Selection,Food,,fit-selection-puppy-junior.png,,,
PUPPY & JUNIOR,2,8446,8713595 08446 2,dog,Fit Selection,Food,,fit-selection-puppy-junior.png,,,
SENIOR,15,5045,8713595 05045 0,dog,Fit Selection,Food,,fit_selection-senior_600x600px_0.png,,,
CHICKEN & RICE,15,8515,8713595 08515 5,dog,Fit Selection,Food,,pc-fit-chicken.png,,,
CHICKEN & RICE,2,8546,8713595 08546 9,dog,Fit Selection,Food,,pc-fit-chicken.png,,,
SALMON & RICE,15,8015,8713595 08015 0,dog,Fit Selection,Food,,pc-fit-salmon.png,,,
SALMON & RICE,2,8046,8713595 08046 4,dog,Fit Selection,Food,,pc-fit-salmon.png,,,
LAMB & RICE,15,8715,8713595 08715 9,dog,Fit Selection,Food,,fit-selection-Lamb-Rice.png,,,
LAMB & RICE,2,8746,8713595 08746 3,dog,Fit Selection,Food,,fit-selection-Lamb-Rice.png,,,
WEIGHT REDUCTION & Diabetic,10,84815,8713595 84815 6,dog,Dietetic,Food,,procare-dieet-weight.png,,,
WEIGHT REDUCTION & Diabetic,3,84846,8713595 84846 0,dog,Dietetic,Food,,procare-dieet-weight.png,,,
SKIN & INTESTINAL Hypoallergic,10,84615,8713595 84615 2,dog,Dietetic,Food,,procare-dieet-skin.png,,,
SKIN & INTESTINAL Hypoallergic,3,84646,8713595 84646 6,dog,Dietetic,Food,,procare-dieet-skin.png,,,
GASTRO-INTESTINAL low fat,10,84115,8713595 84115 7,dog,Dietetic,Food,,pc-croque-diet-gastro-intestinal-low-fat.png,,,
GASTRO-INTESTINAL low fat,3,84146,8713595 84146 1,dog,Dietetic,Food,,pc-croque-diet-gastro-intestinal-low-fat.png,,,
RENAL SUPPORT,10,84515,8713595 84515 5,dog,Dietetic,Food,,pc-croque-diet-renal-support.png,,,
RENAL SUPPORT,3,84546,8713595 84546 9,dog,Dietetic,Food,,pc-croque-diet-renal-support.png,,,
URINARY,10,84715,8713595 84715 9,dog,Dietetic,Food,,pc-croque-diet-urinary.png,,,
URINARY,3,84746,8713595 84746 3,dog,Dietetic,Food,,pc-croque-diet-urinary.png,,,
KITTEN,5,60009,8713595 60009 9,cat,VitalCare,Food,,vc-kitten.png,,,
KITTEN,1.5,60007,8713595 60007 5,cat,VitalCare,Food,,vc-kitten.png,,,
SENIOR,5,62009,8713595 62009 7,cat,VitalCare,Food,,vc-senior_4.png,,,
SENIOR,1.5,62007,8713595 62007 3,cat,VitalCare,Food,,vc-senior_4.png,,,
INDOOR,5,63009,8713595 63009 6,cat,VitalCare,Food,,vc-indoor_1.png,,,
INDOOR,1.5,63008,8713595 63008 9,cat,VitalCare,Food,,vc-indoor_1.png,,,
MULTICAT,10,66015,8713595 66015 4,cat,VitalCare,Food,,vc-multicat_0.png,,,
MULTICAT,5,66009,8713595 66009 3,cat,VitalCare,Food,,vc-multicat_0.png,,,
